relation_id,type,startNode,endNode,role,shouldCapi,stockPercent
0,EMPLOY,-247588997318157810,-5741122156295563541,监事,,
1,EMPLOY,3369830060368214297,-5741122156295563541,监事,,
2,EMPLOY,8655065259751070236,-5741122156295563541,"董事长,总经理",,
3,EMPLOY,2430528472436943153,-5741122156295563541,董事,,
4,EMPLOY,2760330002843917208,-5741122156295563541,董事,,
5,EMPLOY,-283304318481687871,-5741122156295563541,监事,,
6,EMPLOY,8666113787506962378,-5741122156295563541,董事,,
7,LEGAL,8655065259751070236,-5741122156295563541,法定代表人,,
8,INVEST,-5741122156295563541,-84737635762637310,企业法人,389.9999,39.0
9,INVEST,-5741122156295563541,2712864977975726087,,84700000.0,19.12
10,INVEST,-5741122156295563541,-5770203854769869048,其他投资者,2000.0,100.0
11,INVEST,-5741122156295563541,4549114032927961865,企业法人,1000.0,100.0
12,INVEST,-5741122156295563541,6838105846107869197,企业法人,1000.0,2.0
13,INVEST,-5741122156295563541,-1426423880495498991,企业法人,2500.0,10.0
14,INVEST,-5741122156295563541,-8152192477197517538,,3421.5175,9.7401
15,INVEST,-5741122156295563541,-2881185469482322908,企业法人,18.61,37.22
16,INVEST,-5741122156295563541,-189177785393238748,其他投资者,4750.0,95.0
17,INVEST,-5741122156295563541,-2300404092124080347,企业法人,900.0,45.0
18,INVEST,-5741122156295563541,3850598742859660329,企业法人,88.8889,7.44
19,INVEST,-5741122156295563541,1825771353268940102,企业法人,10000.0,5.4054
20,INVEST,-5741122156295563541,-4622051962270867120,,220363501.0,7.93
21,INVEST,-5741122156295563541,-457565067431302060,,4405140.0,14.68
22,INVEST,-5741122156295563541,1057964412715869013,企业法人,1000.0,100.0
23,INVEST,-5741122156295563541,-8435212847802098088,企业法人,1800.0,90.0
24,INVEST,-5741122156295563541,-1432818261127633571,企业法人,250.0,50.0
25,INVEST,-5741122156295563541,-2213168782056386947,企业法人,1737.0839,53.7173
26,INVEST,-5741122156295563541,323514726392255359,企业法人,40000.0,100.0
27,INVEST,-5741122156295563541,-993619252547304832,企业法人,510.0,51.0
28,INVEST,-5741122156295563541,8016741592804059522,企业法人,90000.0,100.0
29,INVEST,-5741122156295563541,-4049482018722294139,企业法人,510.0,51.0
30,INVEST,-5741122156295563541,6279438746478378377,法人股东,1000.0,100.0
31,INVEST,-5741122156295563541,7653983947832937359,法人股东,510.0,51.0
32,INVEST,-5741122156295563541,-2351030753357945711,企业法人,232.7619,16.0252
33,INVEST,-5741122156295563541,7977536890229279386,企业法人,143460.0,100.0
34,INVEST,-5741122156295563541,-5610640537354448227,企业法人,6000.0,100.0
35,INVEST,-5741122156295563541,314429395564108190,企业法人,510.0,51.0
36,INVEST,-5741122156295563541,-4956157819219459425,法人股东,550.84,26.6391
37,INVEST,-5741122156295563541,-4693578375813579616,企业法人,4750.0,95.0
38,INVEST,-5741122156295563541,706486848410112675,企业法人,4950.0,99.0
39,INVEST,-5741122156295563541,-8831616643025141851,企业法人,510.0,51.0
40,INVEST,-5741122156295563541,4574175196955600296,,150000000.0,10.21
41,INVEST,-5741122156295563541,148597920649108143,,1620.0,9.0
42,INVEST,-5741122156295563541,985696802792380861,企业法人,57.4722,45.8558
43,INVEST,-5741122156295563541,-4727295612100508473,企业法人,95000.0,95.0
44,INVEST,-5741122156295563541,8243243782238664396,企业法人,10000.0,100.0
45,INVEST,-5741122156295563541,1257345010913242076,其他投资者,510.0,51.0
46,INVEST,-5741122156295563541,-4093122865739831833,企业法人,950.0,95.0
47,INVEST,-5741122156295563541,-1174771949317744153,企业法人,290290.0,29.0
48,INVEST,-5741122156295563541,-8328012559775954452,企业法人,189.2334,20.0137
49,INVEST,-5741122156295563541,2318847783911811310,法人股东,121650.0,100.0
50,INVEST,-5741122156295563541,-259941928593273360,企业法人,171.0,17.1
51,INVEST,-5741122156295563541,-1468244835085712134,企业法人,3980.0,19.9
52,INVEST,-5741122156295563541,-8954728764282929922,企业法人,1500.0,1.5
53,INVEST,8655065259751070236,-5741122156295563541,自然人股东,3528.5705,54.2857
54,INVEST,-4774715679489100991,-5741122156295563541,自然人股东,742.859,11.4286
55,INVEST,8666113787506962378,-5741122156295563541,自然人股东,742.859,11.4286
56,EMPLOY,-5305811277499905984,1057964412715869013,董事,,
57,EMPLOY,-7200193241585587859,1057964412715869013,监事,,
58,EMPLOY,-8631997536608111497,1057964412715869013,"董事长,经理",,
59,LEGAL,-8631997536608111497,1057964412715869013,法定代表人,,
60,EMPLOY,-8631997536608111497,-4693578375813579616,"总经理,执行董事",,
61,LEGAL,-8631997536608111497,-4693578375813579616,法定代表人,,
62,INVEST,-4693578375813579616,6430918209934489346,企业法人,800.0,10.0
63,INVEST,-4693578375813579616,7635355297186988813,企业法人,300.0,100.0
64,INVEST,-4693578375813579616,6121425202683766976,企业法人,5000.0,100.0
65,INVEST,-2754328414371331709,-4693578375813579616,企业法人,250.0,5.0
66,INVEST,1825771353268940102,-7646571702777908912,企业法人,183950.0,33.8492
67,INVEST,-7676455602893909134,1825771353268940102,企业法人,2000.0,1.0811
68,INVEST,-6882609122265907048,1825771353268940102,企业法人,5750.0,3.1081
69,LEGAL,2617655890293105297,6838105846107869197,执行事务合伙人,,
70,INVEST,5748485167374217351,6838105846107869197,合伙企业,5000.0,10.0
71,INVEST,-6808607688838348408,6838105846107869197,合伙企业,14000.0,28.0
72,INVEST,2617655890293105297,6838105846107869197,合伙企业,400.0,0.8
73,EMPLOY,8901311872486343952,8016741592804059522,董事,,
74,EMPLOY,-1208710931153112794,8016741592804059522,监事,,
75,EMPLOY,7932072609052565925,8016741592804059522,董事长,,
76,LEGAL,7932072609052565925,8016741592804059522,法定代表人,,
77,INVEST,8016741592804059522,-4046934207369412843,企业法人,100.0,100.0
78,INVEST,8016741592804059522,-8460116386898997170,企业法人,1200.0,100.0
79,INVEST,8016741592804059522,2981678093840102346,企业法人,500.0,100.0
80,EMPLOY,6884695640949779487,-1468244835085712134,董事,,
81,EMPLOY,8131236035392823579,-1426423880495498991,监事会主席,,
82,EMPLOY,4095365143317507616,-1426423880495498991,董事,,
83,EMPLOY,8666113787506962378,7090777125426767893,监事,,
84,EMPLOY,8666113787506962378,-5739773443537074897,董事,,
85,EMPLOY,8666113787506962378,7635267020626628701,监事,,
86,EMPLOY,8666113787506962378,-2754328414371331709,董事,,
87,EMPLOY,8666113787506962378,7324760077327119009,监事,,
88,EMPLOY,8666113787506962378,-8077425708000173372,监事,,
89,INVEST,8666113787506962378,7635267020626628701,自然人股东,20.0,20.0
90,INVEST,8666113787506962378,-4121788175307125148,自然人股东,20.0,20.0
91,INVEST,8666113787506962378,-2754328414371331709,自然人股东,125.7146,11.4286
92,INVEST,8666113787506962378,783803818238145229,自然人股东,20.0,20.0
93,EMPLOY,-247588997318157810,-189177785393238748,监事,,
94,EMPLOY,3916321010289760310,-189177785393238748,董事长,,
95,EMPLOY,-2712254628327599746,-189177785393238748,董事,,
96,EMPLOY,-4247689182970967616,-189177785393238748,董事,,
97,LEGAL,3916321010289760310,-189177785393238748,法定代表人,,
98,INVEST,-189177785393238748,4801216600955464017,企业法人,8000.0,8.0
99,INVEST,-2754328414371331709,-189177785393238748,其他投资者,250.0,5.0
100,EMPLOY,-8900733712771758980,-2300404092124080347,董事长,,
101,EMPLOY,-8063140173239646533,-2300404092124080347,监事,,
102,EMPLOY,-5615897991033883936,-2300404092124080347,"经理,董事",,
103,LEGAL,-8900733712771758980,-2300404092124080347,法定代表人,,
104,INVEST,-2300404092124080347,-3604663723552833438,企业法人,5.3062,3.1362
