relation_id,type,role,shouldCapi,stockPercent,startNode,endNode
157,EMPLOY,监事,,,22,113
489,INVEST,企业法人,100000.0,100.0,166,113
300,EMPLOY,董事长,,,47,113
306,LEGAL,法定代表人,,,47,113
347,INVEST,合伙企业,1000.0,1.0,110,53
346,INVEST,合伙企业,15000.0,15.0,111,53
52,INVEST,企业法人,1500.0,1.5,0,53
348,INVEST,合伙企业,18000.0,18.0,169,53
344,INVEST,企业法人,3000.0,3.0,142,53
345,INVEST,合伙企业,9600.0,9.6,186,53
424,EMPLOY,监事,,,147,76
352,EMPLOY,董事,,,54,76
298,INVEST,企业法人,500000.0,100.0,46,76
117,EMPLOY,监事,,,13,76
130,INVEST,企业法人,490.0,49.0,167,15
39,INVEST,企业法人,510.0,51.0,0,15
129,EMPLOY,监事,,,173,15
397,EMPLOY,监事,,,65,164
464,EMPLOY,总经理,,,97,164
78,INVEST,企业法人,1200.0,100.0,5,164
23,INVEST,企业法人,1800.0,90.0,0,21
154,EMPLOY,"总经理,执行董事",,,56,21
155,LEGAL,法定代表人,,,56,21
156,INVEST,自然人股东,200.0,10.0,56,21
187,EMPLOY,"总经理,董事",,,103,30
189,LEGAL,法定代表人,,,103,30
196,INVEST,自然人股东,75.0,7.9322,103,30
48,INVEST,企业法人,189.2334,20.0137,0,30
197,INVEST,企业法人,7.8467,0.8299,98,30
188,EMPLOY,董事,,,143,30
194,INVEST,企业法人,29.6602,3.1369,189,30
195,INVEST,自然人股东,75.0,7.9322,63,30
467,EMPLOY,监事,,,144,100
275,INVEST,企业法人,30.0,100.0,43,100
208,INVEST,企业法人,20000.0,100.0,32,174
532,EMPLOY,"经理,执行董事",,,178,174
533,LEGAL,法定代表人,,,178,174
255,EMPLOY,执行董事,,,41,200
256,INVEST,自然人股东,990.0,99.0,41,200
258,LEGAL,法定代表人,,,41,200
264,INVEST,自然人股东,500.0,50.0,42,99
402,EMPLOY,监事,,,68,99
457,INVEST,自然人股东,12500.0,25.0,93,112
487,EMPLOY,董事,,,193,112
351,EMPLOY,董事,,,54,112
486,EMPLOY,总经理,,,153,112
468,EMPLOY,董事长,,,101,112
470,LEGAL,法定代表人,,,101,112
326,INVEST,,743.7695,2.1173,53,49
323,INVEST,,2281.0117,6.4934,112,49
316,EMPLOY,董事,,,124,49
321,INVEST,,2021.2501,5.7539,125,49
14,INVEST,,3421.5175,9.7401,0,49
322,INVEST,,4007.5701,11.4084,161,49
314,EMPLOY,"经理,董事",,,95,49
325,INVEST,,1303.8882,3.7118,95,49
315,EMPLOY,监事会主席,,,134,49
324,INVEST,,1527.6391,4.3487,105,49
313,EMPLOY,董事长,,,119,49
317,LEGAL,法定代表人,,,119,49
320,INVEST,,191.8164,40.3601,119,49
445,INVEST,企业法人,50.0,50.0,139,85
446,INVEST,企业法人,50.0,50.0,127,85
165,EMPLOY,"总经理,执行董事",,,23,85
171,LEGAL,法定代表人,,,23,85
88,EMPLOY,监事,,,8,85
432,EMPLOY,经理,,,141,79
434,INVEST,自然人股东,1885.7143,53.8776,141,79
443,INVEST,法人股东,30000.0,5.5204,169,84
66,INVEST,企业法人,183950.0,33.8492,3,84
426,EMPLOY,监事,,,77,151
143,INVEST,企业法人,4600.0,100.0,18,151
517,EMPLOY,"总经理,执行董事",,,188,151
518,LEGAL,法定代表人,,,188,151
534,EMPLOY,执行董事,,,185,175
535,LEGAL,法定代表人,,,185,175
223,INVEST,法人股东,28000.0,100.0,35,175
524,EMPLOY,经理,,,157,175
417,EMPLOY,董事,,,165,72
105,INVEST,企业法人,196.3167,10.0,10,72
418,INVEST,企业法人,60.866,3.1004,98,72
525,INVEST,自然人股东,96.92,2.987,160,181
375,INVEST,自然人股东,519.83,16.0207,58,181
409,INVEST,自然人股东,795.02,24.5018,69,181
410,LEGAL,执行事务合伙人,,,69,181
499,INVEST,,20000.0,5.5073,169,125
10,INVEST,其他投资者,2000.0,100.0,0,48
311,EMPLOY,总经理,,,102,48
310,EMPLOY,董事长,,,137,48
312,LEGAL,法定代表人,,,137,48
309,EMPLOY,董事,,,71,48
54,INVEST,自然人股东,742.859,11.4286,41,0
5,EMPLOY,监事,,,13,0
0,EMPLOY,监事,,,22,0
3,EMPLOY,董事,,,42,0
4,EMPLOY,董事,,,47,0
1,EMPLOY,监事,,,17,0
2,EMPLOY,"董事长,总经理",,,23,0
7,LEGAL,法定代表人,,,23,0
53,INVEST,自然人股东,3528.5705,54.2857,23,0
6,EMPLOY,董事,,,8,0
55,INVEST,自然人股东,742.859,11.4286,8,0
114,EMPLOY,监事,,,13,126
259,EMPLOY,"董事长,总经理",,,42,126
265,LEGAL,法定代表人,,,42,126
84,EMPLOY,董事,,,8,126
34,INVEST,企业法人,6000.0,100.0,0,37
230,EMPLOY,监事,,,65,37
229,EMPLOY,董事,,,71,37
248,INVEST,企业法人,1000.0,100.0,40,133
362,EMPLOY,执行董事兼总经理,,,57,133
369,LEGAL,法定代表人,,,57,133
385,EMPLOY,监事,,,60,133
427,EMPLOY,监事,,,77,107
481,EMPLOY,执行董事兼总经理,,,198,107
482,LEGAL,法定代表人,,,198,107
144,INVEST,企业法人,5000.0,100.0,18,107
274,INVEST,企业法人,18.0,6.0,43,123
372,EMPLOY,监事,,,58,123
405,EMPLOY,执行董事,,,69,123
490,EMPLOY,监事,,,144,116
491,EMPLOY,经理,,,160,116
492,LEGAL,法定代表人,,,160,116
278,INVEST,法人股东,800.0,80.0,43,116
408,EMPLOY,执行董事,,,69,116
422,EMPLOY,董事,,,176,75
423,EMPLOY,董事,,,102,75
116,EMPLOY,监事,,,13,75
328,EMPLOY,董事,,,103,50
333,INVEST,自然人股东,331.11,16.0127,103,50
36,INVEST,法人股东,550.84,26.6391,0,50
331,INVEST,法人股东,310.17,15.0001,196,50
329,EMPLOY,监事,,,143,50
327,EMPLOY,经理,,,63,50
330,LEGAL,法定代表人,,,63,50
332,INVEST,自然人股东,331.11,16.0127,63,50
285,EMPLOY,监事,,,147,44
43,INVEST,企业法人,95000.0,95.0,0,44
287,INVEST,企业法人,5000.0,5.0,88,44
124,EMPLOY,监事,,,13,44
284,EMPLOY,董事长,,,101,44
286,LEGAL,法定代表人,,,101,44
283,EMPLOY,董事,,,71,44
60,EMPLOY,"总经理,执行董事",,,176,2
61,LEGAL,法定代表人,,,176,2
37,INVEST,企业法人,4750.0,95.0,0,2
65,INVEST,企业法人,250.0,5.0,88,2
201,EMPLOY,董事,,,120,32
20,INVEST,,220363501.0,7.93,0,32
203,EMPLOY,"副董事长,董事,总经理",,,178,32
213,INVEST,,140076768.0,5.04,178,32
202,EMPLOY,"董事长,董事",,,152,32
204,LEGAL,法定代表人,,,152,32
211,INVEST,,566034062.0,20.37,152,32
212,INVEST,,123959344.0,4.46,202,32
498,INVEST,自然人股东,27.095,16.3287,124,161
459,INVEST,自然人股东,27.095,16.3287,95,161
494,INVEST,自然人股东,87.838,52.9352,119,161
495,LEGAL,执行事务合伙人,,,119,161
304,INVEST,自然人股东,5.0,5.0,47,139
506,LEGAL,执行事务合伙人,,,187,139
507,INVEST,其他投资者,75.0,75.0,187,139
90,INVEST,自然人股东,20.0,20.0,8,139
46,INVEST,企业法人,950.0,95.0,0,45
291,INVEST,企业法人,50.0,5.0,88,45
288,EMPLOY,"总经理,执行董事",,,137,45
289,LEGAL,法定代表人,,,137,45
29,INVEST,企业法人,510.0,51.0,0,31
199,EMPLOY,监事,,,146,31
200,EMPLOY,董事,,,61,31
198,EMPLOY,董事,,,106,31
448,EMPLOY,监事,,,87,170
512,EMPLOY,董事长,,,145,170
513,LEGAL,法定代表人,,,145,170
77,INVEST,企业法人,100.0,100.0,5,170
243,INVEST,企业法人,500.0,100.0,40,114
357,EMPLOY,经理,,,57,114
366,LEGAL,法定代表人,,,57,114
380,EMPLOY,监事,,,60,114
451,EMPLOY,执行董事兼总经理,,,103,91
453,LEGAL,法定代表人,,,103,91
191,INVEST,法人股东,1000.0,100.0,30,91
452,EMPLOY,监事,,,143,91
488,INVEST,企业法人,16.3499,9.6635,112,140
433,INVEST,企业法人,30.5938,18.0822,79,140
104,INVEST,企业法人,5.3062,3.1362,10,140
508,EMPLOY,董事,,,141,140
15,INVEST,企业法人,18.61,37.22,0,20
153,INVEST,企业法人,2.07,4.14,89,20
449,EMPLOY,监事,,,87,88
257,INVEST,自然人股东,125.7146,11.4286,41,88
120,EMPLOY,监事,,,13,88
261,EMPLOY,董事,,,42,88
302,EMPLOY,"总经理,董事",,,47,88
307,LEGAL,法定代表人,,,47,88
161,EMPLOY,董事长,,,23,88
167,INVEST,自然人股东,597.1427,54.2857,23,88
86,EMPLOY,董事,,,8,88
91,INVEST,自然人股东,125.7146,11.4286,8,88
394,INVEST,自然人股东,85.44,7.12,77,62
393,INVEST,自然人股东,81.6,6.8,198,62
390,LEGAL,执行事务合伙人,,,188,62
392,INVEST,自然人股东,389.76,32.48,188,62
391,INVEST,自然人股东,107.52,8.96,197,62
343,INVEST,企业法人,3500.0,53.3455,53,135
505,INVEST,合伙企业,147.34,2.2457,186,135
319,INVEST,法人股东,750.0,30.0,49,92
455,EMPLOY,董事,,,95,92
454,EMPLOY,董事,,,119,92
32,INVEST,企业法人,232.7619,16.0252,0,40
239,EMPLOY,"董事长,经理,董事",,,191,40
240,LEGAL,法定代表人,,,191,40
252,INVEST,自然人股东,74.0,5.0947,191,40
253,INVEST,企业法人,918.1168,63.2103,94,40
237,EMPLOY,董事,,,57,40
250,INVEST,自然人股东,71.0,4.8882,57,40
254,INVEST,企业法人,100.0,6.8848,168,40
238,EMPLOY,监事,,,68,40
251,INVEST,自然人股东,56.6,3.8968,60,40
100,EMPLOY,董事长,,,165,10
103,LEGAL,法定代表人,,,165,10
101,EMPLOY,监事,,,149,10
17,INVEST,企业法人,900.0,45.0,0,10
102,EMPLOY,"经理,董事",,,55,10
106,INVEST,自然人股东,200.0,10.0,55,10
25,INVEST,企业法人,1737.0839,53.7173,0,36
228,INVEST,企业法人,102.1021,3.1574,89,36
277,INVEST,法人股东,550.0,55.0,43,128
374,EMPLOY,监事,,,58,128
407,EMPLOY,执行董事,,,69,128
245,INVEST,企业法人,1000.0,100.0,40,83
359,EMPLOY,执行董事兼总经理,,,57,83
368,LEGAL,法定代表人,,,57,83
382,EMPLOY,监事,,,60,83
458,INVEST,,170637446.0,5.82,202,94
209,INVEST,企业法人,17966.32,100.0,32,179
536,EMPLOY,经理,,,178,179
520,EMPLOY,执行董事,,,152,179
521,LEGAL,法定代表人,,,152,179
51,INVEST,企业法人,3980.0,19.9,0,6
80,EMPLOY,董事,,,137,6
24,INVEST,企业法人,250.0,50.0,0,39
236,INVEST,企业法人,250.0,50.0,190,39
233,EMPLOY,监事,,,146,39
234,EMPLOY,董事,,,61,39
235,EMPLOY,董事,,,66,39
232,EMPLOY,董事,,,106,39
13,INVEST,企业法人,2500.0,10.0,0,7
82,EMPLOY,董事,,,145,7
81,EMPLOY,监事会主席,,,129,7
474,INVEST,自然人股东,0.0001,0.01,103,196
476,LEGAL,执行事务合伙人,,,103,196
510,INVEST,自然人股东,0.9999,99.99,143,196
47,INVEST,企业法人,290290.0,29.0,0,46
295,EMPLOY,董事,,,193,46
299,INVEST,企业法人,710710.0,71.0,88,46
293,EMPLOY,董事长,,,54,46
296,LEGAL,法定代表人,,,54,46
125,EMPLOY,监事,,,13,46
294,EMPLOY,总经理,,,153,46
292,EMPLOY,董事,,,71,46
181,INVEST,法人股东,1000.0,100.0,27,154
27,INVEST,企业法人,510.0,51.0,0,29
186,EMPLOY,监事,,,173,29
184,EMPLOY,总经理,,,130,29
185,EMPLOY,董事,,,66,29
118,EMPLOY,监事,,,13,183
529,INVEST,法人股东,1000.0,100.0,166,183
413,EMPLOY,董事,,,71,183
247,INVEST,企业法人,1000.0,100.0,40,192
361,EMPLOY,监事,,,57,192
384,EMPLOY,执行董事兼总经理,,,60,192
389,LEGAL,法定代表人,,,60,192
244,INVEST,企业法人,500.0,100.0,40,115
358,EMPLOY,"经理,执行董事",,,57,115
367,LEGAL,法定代表人,,,57,115
381,EMPLOY,监事,,,60,115
21,INVEST,,4405140.0,14.68,0,33
214,INVEST,,4892110.0,16.31,80,33
273,INVEST,企业法人,800.0,80.0,43,122
371,EMPLOY,监事,,,58,122
404,EMPLOY,执行董事,,,69,122
318,INVEST,企业法人,500.0,100.0,49,96
462,EMPLOY,经理,,,124,96
461,EMPLOY,监事,,,134,96
460,EMPLOY,执行董事,,,119,96
463,LEGAL,法定代表人,,,119,96
50,INVEST,企业法人,171.0,17.1,0,27
182,INVEST,企业法人,19.0,1.9,89,27
16,INVEST,其他投资者,4750.0,95.0,0,9
96,EMPLOY,董事,,,193,9
99,INVEST,其他投资者,250.0,5.0,88,9
95,EMPLOY,董事,,,54,9
93,EMPLOY,监事,,,22,9
94,EMPLOY,董事长,,,101,9
97,LEGAL,法定代表人,,,101,9
174,INVEST,企业法人,25.0,2.5,79,24
8,INVEST,企业法人,389.9999,39.0,0,24
172,EMPLOY,董事,,,141,24
173,EMPLOY,董事,,,153,24
115,EMPLOY,监事,,,13,166
260,EMPLOY,董事,,,42,166
301,EMPLOY,董事,,,47,166
159,EMPLOY,"董事长,总经理",,,23,166
169,LEGAL,法定代表人,,,23,166
222,INVEST,企业法人,450.0,90.0,35,82
440,EMPLOY,执行董事兼总经理,,,157,82
441,LEGAL,法定代表人,,,157,82
268,EMPLOY,经理,,,144,43
272,LEGAL,法定代表人,,,144,43
279,INVEST,,27.0,0.15,144,43
271,EMPLOY,董事,,,160,43
